Dist,Fairway,Rough,Sand,Recovery,Green,Tee
0,0.0,0.0,0.0,0.0,0.0,0.0
1,,,,,1.01,
2,,,,,1.025,
3,,,,,1.04,
4,2.42,2.5,2.5,,1.13,
5,2.42,2.5,2.5,,1.23,
6,2.42,2.5,2.5,,1.34,
7,2.42,2.5,2.5,,1.42,
8,2.42,2.5,2.5,,1.5,
9,2.42,2.5,2.5,,1.555,
10,2.42,2.5,2.5,3.45,1.61,
11,2.42,2.5,2.5,3.456,1.644,
12,2.42,2.5,2.5,3.462,1.678,
13,2.42,2.5,2.5,3.468,1.712,
14,2.42,2.5,2.5,3.474,1.746,
15,2.42,2.5,2.528,3.48,1.772,
16,2.42,2.5,2.556,3.486,1.798,
17,2.422,2.5,2.584,3.492,1.816,
18,2.424,2.5,2.612,3.498,1.834,
19,2.426,2.5,2.64,3.504,1.852,
20,2.428,2.512,2.58,3.51,1.87,
21,2.43,2.525,2.52,3.516,1.882,
22,2.44,2.538,2.535,3.522,1.894,
23,2.45,2.55,2.55,3.528,1.905,
24,2.46,2.564,2.565,3.534,1.916,
25,2.47,2.579,2.58,3.54,1.927,
26,2.48,2.593,2.595,3.546,1.938,
27,2.489,2.608,2.61,3.552,1.949,
28,2.498,2.622,2.615,3.558,1.96,
29,2.507,2.637,2.62,3.564,1.97,
30,2.516,2.651,2.624,3.57,1.98,
31,2.525,2.666,2.629,3.584,1.988,
32,2.535,2.68,2.634,3.598,1.996,
33,2.544,2.696,2.639,3.612,2.004,
34,2.553,2.712,2.643,3.626,2.012,
35,2.562,2.728,2.648,3.64,2.02,
36,2.571,2.744,2.653,3.654,2.028,
37,2.58,2.76,2.658,3.668,2.036,
38,2.587,2.766,2.662,3.682,2.044,
39,2.595,2.771,2.667,3.696,2.052,
40,2.602,2.777,2.672,3.71,2.06,
41,2.609,2.782,2.677,3.718,2.068,
42,2.616,2.788,2.682,3.726,2.075,
43,2.624,2.793,2.686,3.734,2.082,
44,2.631,2.799,2.691,3.742,2.09,
45,2.638,2.804,2.696,3.75,2.098,
46,2.645,2.81,2.701,3.758,2.105,
47,2.653,2.816,2.705,3.766,2.112,
48,2.66,2.821,2.71,3.774,2.12,
